"","Case","c","N","n","p","pr","OR","OR.beta","EFF","EFF.null","EFF.true","NV","NV.0","A","A.0","A.null","A.op","A.boot","ATT.true"
"Bias",S4,1.5,1000,406.804,4,0.582,-0.005,-0.006,-0.005,-0.003,-0.001,-0.006,-0.007,-0.007,-0.005,-0.005,-0.004,-0.019,1.28124091293954
"SD.est",S4,1.5,1000,406.804,4,0.582,0.112,0.113,0.133,0.136,0.148,0.165,0.174,0.131,0.132,0.131,0.132,0.133,NA
"SD",S4,1.5,1000,406.804,4,0.582,0.126,0.205,0.126,0.12,0.15,0.205,0.185,0.133,0.127,0.124,0.127,0.131,NA
"Cover.95",S4,1.5,1000,406.804,4,0.582,0.922,0.734,0.96,0.974,0.954,0.886,0.942,0.948,0.96,0.962,0.962,0.956,NA
"Bias",S4,1.5,2000,813.746,4,0.581,-0.004,-0.007,-0.004,-0.003,-0.005,-0.007,-0.006,-0.004,-0.004,-0.003,-0.003,-0.011,1.28124091293954
"SD.est",S4,1.5,2000,813.746,4,0.581,0.079,0.079,0.096,0.098,0.109,0.125,0.131,0.096,0.096,0.096,0.096,0.096,NA
"SD",S4,1.5,2000,813.746,4,0.581,0.085,0.136,0.085,0.083,0.102,0.136,0.125,0.085,0.085,0.083,0.085,0.085,NA
"Cover.95",S4,1.5,2000,813.746,4,0.581,0.928,0.75,0.97,0.974,0.958,0.918,0.954,0.966,0.966,0.968,0.966,0.964,NA
"Bias",S4,1.5,4000,1628.818,4,0.582,-0.003,-0.007,-0.003,-0.003,-0.005,-0.007,-0.007,-0.004,-0.003,-0.004,-0.003,-0.007,1.28124091293954
"SD.est",S4,1.5,4000,1628.818,4,0.582,0.056,0.056,0.069,0.07,0.082,0.094,0.097,0.069,0.069,0.069,0.069,0.069,NA
"SD",S4,1.5,4000,1628.818,4,0.582,0.061,0.097,0.061,0.061,0.084,0.097,0.091,0.062,0.061,0.061,0.061,0.061,NA
"Cover.95",S4,1.5,4000,1628.818,4,0.582,0.93,0.734,0.968,0.972,0.97,0.934,0.966,0.966,0.974,0.974,0.974,0.976,NA
"Bias",S4,1.5,1000,406.764,100,0.582,-0.053,-0.123,-0.053,-0.026,-0.009,-0.123,-0.09,-0.082,-0.059,-0.064,-0.058,-0.076,1.27882238995967
"SD.est",S4,1.5,1000,406.764,100,0.582,0.103,0.101,0.118,0.121,0.139,0.128,0.148,0.115,0.118,0.117,0.118,0.121,NA
"SD",S4,1.5,1000,406.764,100,0.582,0.125,0.175,0.125,0.119,0.145,0.175,0.155,0.13,0.124,0.124,0.125,0.125,NA
"Cover.95",S4,1.5,1000,406.764,100,0.582,0.848,0.634,0.892,0.948,0.948,0.76,0.892,0.852,0.882,0.876,0.882,0.882,NA
"Bias",S4,1.5,2000,815.37,100,0.582,-0.031,-0.078,-0.031,-0.015,-0.006,-0.078,-0.06,-0.046,-0.034,-0.036,-0.033,-0.044,1.27882238995967
"SD.est",S4,1.5,2000,815.37,100,0.582,0.075,0.074,0.087,0.089,0.105,0.099,0.11,0.086,0.087,0.086,0.087,0.088,NA
"SD",S4,1.5,2000,815.37,100,0.582,0.083,0.131,0.083,0.079,0.111,0.131,0.113,0.088,0.084,0.083,0.084,0.086,NA
"Cover.95",S4,1.5,2000,815.37,100,0.582,0.892,0.648,0.946,0.974,0.958,0.794,0.908,0.898,0.94,0.936,0.94,0.92,NA
"Bias",S4,1.5,4000,1629.832,100,0.581,-0.016,-0.033,-0.016,-0.007,-0.002,-0.033,-0.024,-0.021,-0.017,-0.018,-0.017,-0.021,1.27882238995967
"SD.est",S4,1.5,4000,1629.832,100,0.581,0.054,0.054,0.064,0.065,0.078,0.079,0.087,0.064,0.064,0.064,0.064,0.065,NA
"SD",S4,1.5,4000,1629.832,100,0.581,0.058,0.092,0.058,0.055,0.078,0.092,0.083,0.059,0.058,0.058,0.058,0.058,NA
"Cover.95",S4,1.5,4000,1629.832,100,0.581,0.908,0.71,0.954,0.966,0.964,0.872,0.948,0.948,0.952,0.952,0.954,0.946,NA
